Task,Your Model,ChatGPT,Claude,Gemini,Llama,Qwen
writing,1,,,0,,
code,,1,0,,,
writing,,,,1,0,
code,,,,0,,1
math,1,,,0,,
writing,,0,,,1,
code,,1,,,,0
writing,1,0,,,,
code,,0,,1,,
writing,1,,,,,0
writing,0,,1,,,
math,1,,,0,,
writing,1,,0,,,
writing,1,,,,0,
code,,0,,,,1
writing,,1,,,,0
code,,,1,,,0
code,,,0,,,1
writing,,1,0,,,
math,,1,0,,,
code,,,,1,,0
math,,0,,1,,
writing,1,,,0,,
writing,,,1,0,,
code,,,0,,1,
math,1,,,,0,
writing,,,1,,0,
math,,0,,,,1
code,,0,,,1,
math,,1,,,,0
math,0,,1,,,
code,,1,0,,,
code,,0,,,1,
math,0,,,,1,
code,,,0,,,1
writing,,,,,1,0
writing,,0,1,,,
writing,1,0,,,,
writing,,,0,1,,
math,,,1,,,0
math,,0,,,,1
writing,0,,1,,,
writing,1,,,,,0
writing,,,0,,,1
code,,,,,0,1
writing,,1,,0,,
code,1,,,,0,
code,,,,,0,1
code,,1,0,,,
code,,,,1,0,
math,,0,,,1,
writing,1,,,,0,
code,1,0,,,,
math,0,,1,,,
code,,,,,0,1
code,,,,1,0,
math,0,,1,,,
code,0,,1,,,
writing,0,1,,,,
math,0,,,1,,
math,,0,,,,1
code,,,,1,0,
writing,,,0,1,,
math,,,1,,,0
math,,1,,0,,
math,1,0,,,,
writing,,1,,,,0
math,1,,,0,,
writing,,,0,,1,
code,,,1,0,,
math,0,,,,,1
code,,,0,,,1
math,,0,,,1,
code,0,,1,,,
math,0,,1,,,
math,,,,0,1,
math,,1,,,,0
math,0,1,,,,
writing,,,1,,,0
writing,0,,,,,1
code,1,,,0,,
code,0,,,,1,
math,,0,,,1,
code,0,,,,,1
writing,0,,1,,,
math,0,,,,1,
code,,1,,,0,
code,,1,,0,,
writing,,,,,0,1
writing,,,,1,0,
writing,,,,,0,1
code,,0,,,1,
writing,0,1,,,,
writing,,0,,1,,
writing,,,1,,,0
writing,,1,,0,,
math,,1,0,,,
code,,1,0,,,
writing,1,,,,,0
math,,,1,,,0
code,,1,,0,,
writing,,1,,,,0
writing,,0,1,,,
code,,,,,1,0
writing,,,0,1,,
math,0,,,1,,
writing,0,,1,,,
code,,,0,,1,
math,,1,0,,,
writing,,,,,0,1
writing,,0,,,1,
code,,1,,,,0
code,,1,,,0,
math,,,,1,0,
math,,0,,1,,
writing,,1,,,,0
math,,,1,0,,
math,,,,1,0,
math,,0,,,1,
code,,,,0,1,
math,,,1,0,,
math,,,0,1,,
math,,1,,0,,
math,,0,1,,,
code,,0,,1,,
math,,,,0,1,
code,,,1,,,0
code,0,,,1,,
math,,,0,,,1
code,0,,,,1,
math,,,0,,1,
code,1,0,,,,
math,1,,,,0,
code,,,,,0,1
math,,0,1,,,
code,,,,,1,0
code,,,1,,0,
code,,1,,,0,
math,,,1,,0,
writing,1,,0,,,
code,,,1,,,0
writing,1,,,0,,
math,,0,,1,,
code,,0,,,1,
writing,,1,,0,,
math,1,,0,,,
math,,,1,0,,
math,0,1,,,,
code,0,,,,1,
writing,,,1,0,,
code,,1,,,,0
math,,,0,,1,
code,1,,,0,,
math,0,,,1,,
math,,,1,,0,
math,1,0,,,,
code,,,,1,0,
writing,0,,1,,,
code,,0,,,1,
math,,,,,0,1
math,0,,,1,,
writing,,,,1,0,
writing,,1,,0,,
math,,1,,,,0
writing,,,1,,,0
writing,,1,,0,,
math,,,,,1,0
writing,,,,1,0,
code,,,0,,1,
math,,,1,,,0
math,,,0,1,,
math,,0,,,1,
code,,0,,,,1
writing,,1,,,0,
code,1,,,0,,
math,,,1,,0,
math,,,,1,0,
math,,1,,,0,
code,0,1,,,,
math,,,,0,,1
writing,,,,0,1,
math,0,,,1,,
math,,,0,,,1
code,,,,1,0,
math,,1,0,,,
code,,,1,,0,
writing,1,,,,0,
writing,0,,,,1,
code,1,,,0,,
math,,,,0,1,
writing,,1,0,,,
math,,1,0,,,
math,,,,1,,0
math,,,,,0,1
writing,,0,,,,1
math,,0,1,,,
code,,1,0,,,
writing,,0,,,1,
math,,,,0,,1
math,,0,,1,,
writing,,,,1,0,
math,,,,1,,0
math,,,1,,,0
code,1,,0,,,
code,,0,1,,,
code,,1,,,,0
math,1,0,,,,
math,,1,0,,,
writing,,,0,,1,
writing,1,,,0,,
code,,,,0,,1
math,0,1,,,,
math,1,,,,,0
writing,1,,0,,,
code,0,,1,,,
writing,,,1,0,,
math,,1,,0,,
writing,,1,,,,0
writing,1,,,,,0
math,,1,0,,,
math,,0,,,,1
math,,0,,,,1
code,,,1,,,0
math,,,,,0,1
code,0,,1,,,
writing,,0,1,,,
writing,0,,,1,,
code,,,1,,,0
code,,1,,0,,
code,,0,,,,1
code,1,,0,,,
code,0,,,1,,
code,,,,1,,0
writing,,,1,0,,
writing,,0,,,,1
writing,0,,1,,,
writing,1,,0,,,
code,1,0,,,,
math,0,,,,,1
writing,,,1,0,,
writing,,,,,1,0
code,1,,0,,,
math,,0,,1,,
math,,,,,0,1
math,,0,,1,,
math,,,,0,,1
writing,,,1,,0,
code,,,0,,1,
writing,,1,,,,0
writing,1,,,,,0
code,,0,,1,,
writing,,0,,1,,
writing,,0,,,,1
writing,,,0,,1,
writing,,,1,0,,
math,,,0,,1,
writing,,,,1,,0
code,0,,,,1,
math,,,0,,1,
code,0,,,,,1
writing,1,,,,0,
writing,,,1,,,0
math,,0,,1,,
writing,,,,0,,1
writing,,,,1,0,
writing,0,,1,,,
code,,,1,0,,
math,,,1,0,,
math,,,,1,,0
math,0,,,1,,
math,0,,,1,,
math,,,1,,0,
math,,,,0,,1
code,,,,,0,1
math,1,,,0,,
math,,,1,,0,
math,0,,1,,,
writing,,,1,,0,
code,,1,,0,,
math,,0,,,,1
writing,,1,,,0,
math,,1,0,,,
code,,0,,,,1
writing,,0,,,,1
writing,0,,,,1,
math,0,,,1,,
writing,0,1,,,,
math,0,,1,,,
writing,,0,1,,,
code,,1,,,0,
math,0,,,1,,
math,0,,,,,1
code,,,,1,,0
code,1,,,,,0
code,1,,,,0,
math,,,,0,1,
code,,,,1,0,
code,,,0,1,,
math,,,1,,,0
writing,1,0,,,,
writing,,,1,0,,
math,,0,1,,,
writing,1,,,,,0
writing,,,1,0,,
math,1,0,,,,
code,0,,,,1,
math,,,0,,1,
math,0,,,1,,
code,0,1,,,,
math,,,0,1,,
writing,,,0,1,,
math,,1,,0,,
writing,,,0,,1,
code,,1,0,,,
code,,1,,,0,
code,,,,0,1,
writing,,,0,1,,
math,0,,,,1,
math,,,0,,,1
writing,1,,,,,0
code,,1,,,0,
writing,,,,1,0,
code,,,,,0,1
code,,1,,,0,
math,,,,1,,0
code,,,,0,,1
code,0,,,1,,
math,0,,,1,,
math,,0,,1,,
math,,,,1,,0
math,,1,,,0,
math,,,0,1,,
writing,,,,,1,0
code,,,1,,0,
writing,0,,,,,1
math,,1,,,,0
writing,,,,1,,0
math,,,1,,,0
math,,,1,0,,
writing,,,1,0,,
code,,,,1,,0
writing,,,,1,,0
writing,,,1,,0,
math,,,1,,,0
code,,,1,,,0
code,,,,1,0,
writing,,,0,,1,
writing,1,,,,,0
math,0,,,,,1
math,,0,1,,,
math,,,,,0,1
code,1,0,,,,
math,,,1,,0,
math,0,,1,,,
math,1,,,,0,
code,0,,,,1,
writing,1,0,,,,
math,,,,0,1,
writing,0,,,,,1
writing,,1,,0,,
math,,0,,,,1
math,1,0,,,,
math,1,,0,,,
math,,,0,1,,
code,1,,0,,,
math,1,,,,0,
math,0,,,,1,
code,,,,,1,0
code,,1,0,,,
writing,,1,,,0,
math,1,,,,0,
writing,,0,1,,,
writing,,0,1,,,
code,,,,0,1,
writing,,,,0,,1
writing,,,1,,0,
math,0,,1,,,
writing,,0,,1,,
code,0,1,,,,
math,,,,,0,1
code,0,,,,,1
writing,,,0,,,1
code,,,1,,,0
code,,1,,,0,
code,0,,,1,,
writing,,,,1,0,
writing,,,,1,,0
code,,,,0,,1
code,,,0,,1,
writing,,,,0,,1
math,,0,,,1,
code,,1,0,,,
math,,,,1,,0
math,1,0,,,,
math,,,,1,,0
math,1,,,,,0
writing,,0,1,,,
writing,,1,,,,0
math,,,1,,0,
math,1,,,0,,
writing,,,,1,0,
code,0,,,,,1
writing,,,0,,,1
math,,,0,,,1
math,,,0,,1,
code,,1,,0,,
code,,1,0,,,
math,,,0,,,1
writing,,,,1,,0
writing,,1,,0,,
code,,,,0,,1
code,,0,,1,,
code,1,,,0,,
code,,1,,,,0
math,,,1,,0,
writing,,0,1,,,
math,,0,,,1,
math,,0,,,1,
writing,,,,1,,0
writing,,,,,1,0
math,0,,,1,,
math,0,,,,1,
code,,,,0,1,
math,,,,0,1,
writing,,0,,1,,
writing,,1,,,,0
code,,0,1,,,
code,0,,1,,,
writing,0,,1,,,
math,1,,,0,,
writing,,1,,,0,
math,1,0,,,,
math,0,,,,,1
writing,,,1,,,0
code,0,,,,,1
math,1,,,,0,
math,1,,,0,,
writing,,,0,,1,
code,1,,0,,,
code,,1,,,0,
writing,0,,1,,,
writing,,1,,,0,
writing,0,,,,1,
math,1,,,,,0
code,0,,,,,1
writing,,1,,,0,
code,,1,,0,,
code,,,,,0,1
code,,,,,1,0
math,,0,1,,,
writing,,1,0,,,
writing,,,0,1,,
writing,,1,,0,,
code,,,0,,1,
math,,,1,0,,
code,,,,0,1,
math,,,,1,0,
writing,1,,,0,,
code,1,,,,0,
math,,,,0,1,
writing,1,,,,0,
math,0,,,,1,
writing,,,0,1,,
writing,,0,1,,,
code,,1,0,,,
writing,,1,,0,,
code,,0,,1,,
writing,0,,,,,1
math,0,,,,,1
math,0,1,,,,
code,0,,,1,,
code,,1,,,0,
math,,,,1,,0
writing,1,,0,,,
code,0,,,,,1
math,,,,0,1,
math,0,1,,,,
code,1,0,,,,
writing,,,0,,1,
math,,,,1,0,
code,,,,,1,0
math,,,1,0,,
writing,,0,1,,,
code,,,0,,1,
math,,,1,,,0
math,,,0,,1,
code,,,0,,1,
writing,1,,,,0,
math,1,0,,,,
code,,0,,1,,
code,,,0,,,1
code,,0,,,1,
math,0,1,,,,
code,1,,,0,,
math,,,0,,1,
writing,,,,1,0,
math,,,,1,0,
writing,,,0,1,,
code,,,1,,,0
code,,,1,,,0
math,,0,1,,,
writing,,1,,,0,
writing,,,,0,1,
writing,,,0,,1,
math,1,,0,,,
writing,,1,,,0,
writing,,0,,1,,
writing,,,,1,,0
writing,,,,0,,1
code,,1,,,,0
math,,,1,,0,
math,1,,,,,0
writing,,,0,1,,
math,,0,,1,,
code,0,,,,1,
code,,,1,0,,
math,0,,,,,1
code,1,,0,,,
code,1,,0,,,
writing,,0,1,,,
writing,,,,0,,1
code,,,,,0,1
code,,,1,,,0
code,,,1,,,0
math,,,0,1,,
math,,,,0,1,
math,0,1,,,,
code,,0,,1,,
math,,0,1,,,
code,0,,1,,,
code,,0,,,1,
code,,,1,,,0
writing,,,1,,0,
code,0,,1,,,
writing,,,,0,1,
writing,0,,,1,,
math,,0,,,,1
code,,0,,1,,
writing,,,0,,1,
math,,,,,0,1
writing,,,1,,,0
math,,0,,,1,
math,,0,,,1,
code,0,,,,,1
math,,,0,,,1
writing,0,,,1,,
writing,1,0,,,,
math,1,,,0,,
code,,1,0,,,
code,1,,,,,0
writing,0,,,,,1
code,1,,,,,0
math,0,1,,,,
writing,,0,1,,,
code,,1,0,,,
math,,1,0,,,
writing,,,0,,1,
writing,,1,0,,,
math,,,0,,,1
code,,1,,,0,
writing,,,1,0,,
code,0,1,,,,
math,1,0,,,,
code,,,0,,,1
code,,,,1,0,
code,1,,,0,,
math,0,1,,,,
writing,1,,,,0,
code,,,,,0,1
writing,,,,0,1,
writing,1,0,,,,
writing,1,,,0,,
math,,,,,0,1
writing,,,,,1,0
math,,0,,,,1
math,,,,,1,0
code,,1,,0,,
code,,,,0,1,
writing,,1,,0,,
code,1,,,,,0
writing,1,,,,0,
math,,1,0,,,
code,,,,,1,0
writing,,1,,,0,
math,,,,1,0,
writing,,0,,1,,
code,,1,,,0,
math,,,,,0,1
code,0,,1,,,
math,,,,0,1,
writing,0,,,,,1
writing,0,,1,,,
writing,0,,,,,1
code,,,,0,1,
math,1,,,0,,
writing,,1,,,,0
math,,,0,1,,
code,0,1,,,,
math,0,,,,,1
math,1,0,,,,
math,,,1,,,0
writing,,,0,,1,
writing,,,1,,,0
writing,,1,,,,0
math,,1,,,0,
code,1,,,0,,
writing,,1,,,,0
math,,,,0,1,
math,,1,,,0,
code,,1,,,,0
writing,,,,0,1,
writing,,,1,,,0
writing,1,,,0,,
code,0,,,,,1
writing,,1,,,,0
writing,,,,1,0,
code,,1,,,,0
writing,,0,,,1,
code,0,,,1,,
math,1,,,,0,
math,1,,,,,0
code,,1,0,,,
writing,0,1,,,,
math,1,,0,,,
writing,0,1,,,,
code,,,0,1,,
writing,0,,,,,1
code,,,1,,0,
writing,,0,,,,1
code,,,,,1,0
code,,,,,1,0
math,,,0,,,1
code,,,1,,0,
writing,,1,,,0,
math,,1,0,,,
code,1,,,,,0
code,,,1,,,0
math,,,0,,1,
writing,,,1,,,0
writing,,,1,,0,
writing,0,,1,,,
math,,0,,,1,
math,,0,,1,,
code,,1,,0,,
writing,,,,0,1,
writing,0,,,,,1
code,,,1,0,,
code,1,0,,,,
code,,0,1,,,
writing,,,1,,0,
math,,,,,1,0
code,,,0,1,,
math,,,0,1,,
code,,,0,,,1
math,0,,,1,,
writing,1,,,,,0
code,1,,,,,0
math,0,,,1,,
math,,0,,1,,
code,,,1,0,,
math,,1,0,,,
math,1,,,,0,
writing,1,,,,,0
writing,,,1,,0,
code,,,,,1,0
code,,,1,0,,
writing,,,,1,,0
math,,,,1,0,
writing,,,,1,,0
math,1,,,,,0
writing,1,0,,,,
code,1,,,,0,
code,,1,,,0,
math,,0,1,,,
writing,,,0,1,,
code,1,,,,0,
code,,,0,,1,
writing,,0,1,,,
writing,,,0,1,,
code,,,,,1,0
math,0,,,1,,
math,,1,,,0,
code,,0,,1,,
writing,,,,0,1,
code,,1,,,0,
code,0,,,1,,
math,,1,0,,,
writing,1,,,,0,
code,1,,,0,,
math,1,,0,,,
writing,1,,,,0,
code,,,,,1,0
math,0,,1,,,
writing,0,1,,,,
writing,0,1,,,,
math,,,,0,,1
math,,1,,,,0
math,,,0,,,1
writing,1,,,0,,
writing,,1,,0,,
writing,,,0,1,,
code,,,0,,,1
writing,,0,,,1,
code,,,,1,,0
writing,1,,,0,,
writing,1,,,0,,
code,,1,,,,0
writing,,,,1,0,
writing,,,,0,1,
writing,,,,0,1,
code,,,,0,1,
math,0,,,,1,
code,,0,1,,,
math,,,0,1,,
code,0,1,,,,
code,0,,,1,,
writing,1,,,,,0
code,,0,,,,1
code,1,0,,,,
writing,,,,,0,1
math,0,,,,1,
code,,0,,,,1
writing,1,,,,0,
math,,1,,,,0
code,,0,,,,1
writing,1,,,0,,
code,,,0,1,,
writing,,,1,,0,
writing,,,,,0,1
math,,,1,0,,
writing,,1,0,,,
writing,,0,,1,,
writing,,,,,0,1
code,,0,1,,,
math,0,,,,1,
math,0,,,1,,
code,,1,,0,,
writing,0,1,,,,
math,,1,,0,,
code,1,,,,,0
code,0,,,1,,
writing,,,1,,0,
code,0,1,,,,
code,,0,,,1,
math,,1,,,,0
code,1,,0,,,
writing,,0,,,,1
math,,,1,,,0
math,,,1,0,,
math,,,,1,0,
writing,,,,1,0,
math,,,0,1,,
writing,,,1,0,,
code,,,,1,,0
code,1,,,,,0
math,1,0,,,,
code,,,0,,1,
writing,0,,,,,1
code,0,,,,,1
writing,,,,,0,1
code,1,,,0,,
math,,0,1,,,
writing,,1,0,,,
code,0,,1,,,
writing,0,,,1,,
code,0,,,,,1
math,,,0,,,1
code,,,,0,1,
code,,1,,0,,
math,,,1,,,0
writing,0,,,1,,
code,,,,0,1,
writing,,,0,,,1
writing,,,0,,1,
code,,,1,,0,
code,,0,1,,,
code,,0,1,,,
writing,0,,,1,,
math,0,,,,,1
code,,,1,,,0
math,0,,,,1,
code,0,,,1,,
math,,,,,0,1
writing,,,1,,,0
writing,1,,0,,,
writing,0,,1,,,
math,,1,,,0,
writing,0,,1,,,
code,0,,1,,,
math,0,,,1,,
math,0,1,,,,
math,,1,,,,0
code,,1,,0,,
writing,0,,,,1,
writing,,,1,,,0
writing,0,,,1,,
code,,,,,0,1
writing,,,0,1,,
writing,,,,1,,0
math,,1,,0,,
code,,1,,,0,
writing,,,,,0,1
math,,,,,0,1
code,,,,1,,0
math,0,,,,1,
writing,,,,,1,0
writing,,,,,1,0
writing,0,,,,,1
code,,,,1,,0
writing,,,1,,0,
math,,1,,0,,
code,,0,1,,,
writing,,1,0,,,
math,,,0,,1,
writing,,1,,,,0
writing,0,,1,,,
code,0,,,,,1
writing,,,1,,0,
code,,,1,,,0
code,,,,0,,1
writing,1,,,0,,
math,0,,,,,1
code,1,,,,,0
writing,,0,,,1,
writing,1,0,,,,
writing,,,,0,1,
code,1,,,,0,
math,0,,,,,1
writing,,,,,1,0
code,0,,,1,,
code,,,1,0,,
math,,,,1,,0
math,,0,1,,,
code,1,0,,,,
math,0,1,,,,
writing,1,,,,0,
code,,1,,,0,
math,1,,0,,,
math,1,,,0,,
math,,,0,,,1
code,1,,,0,,
math,,0,,,,1
code,,1,,,0,
writing,0,,1,,,
writing,0,,,,,1
code,,,0,,,1
code,1,,,,,0
code,,,0,,1,
math,,,,1,0,
writing,1,,,,0,
code,,,0,,,1
code,,,,1,0,
math,,1,,,0,
writing,,,,,1,0
writing,,,0,,,1
code,,,,1,0,
math,1,0,,,,
code,0,1,,,,
code,0,,,,1,
writing,,1,,0,,
math,,,0,,1,
writing,,,,0,,1
writing,,,,1,,0
code,1,,,0,,
math,0,,,1,,
writing,0,,1,,,
writing,,,1,,,0
math,,1,,,,0
writing,,1,,,0,
writing,,,0,,1,
writing,1,,,,,0
math,,1,,,0,
code,0,,1,,,
writing,0,,,,1,
code,,,,1,0,
math,1,,,,0,
code,0,,,,1,
code,,0,,,,1
math,1,0,,,,
math,1,,,0,,
writing,,,,,0,1
math,1,,0,,,
writing,,,0,,,1
code,1,,,,0,
code,0,,,,1,
code,,0,,,,1
math,,0,,,,1
code,0,,1,,,
code,,1,,0,,
writing,1,,,0,,
writing,,0,,1,,
math,,,0,,1,
writing,,,,1,0,
writing,,0,,,,1
math,,,0,,1,
writing,,,,,0,1
math,,0,,1,,
code,,1,,,0,
math,0,,,,,1
writing,1,,,,0,
writing,1,0,,,,
code,,,1,,0,
code,,1,,,,0
math,,1,,0,,
writing,,1,,0,,
code,,,,1,0,
writing,,,0,,,1
code,,,,0,,1
math,0,,,,,1
writing,0,,,,,1
writing,,,,0,,1
writing,0,,1,,,
math,,,0,,1,
code,,0,,,,1
code,,0,,,,1
math,,,,0,1,
writing,,,1,0,,
math,,0,,1,,
math,,,0,1,,
writing,,0,,,,1
math,1,0,,,,
writing,,,1,0,,
math,,0,,,,1
writing,1,0,,,,
math,1,,,,,0
math,,1,,,,0
writing,,1,,0,,
code,,0,,,1,
writing,,,1,,,0
code,,,0,,1,
writing,1,,,,,0
writing,,0,1,,,
writing,,0,1,,,
writing,0,,,,1,
code,0,,,1,,
writing,1,,,0,,
code,0,1,,,,
writing,0,1,,,,
code,,0,,,,1
writing,1,0,,,,
math,,,,0,,1
math,,,,0,1,
writing,,0,,,,1
code,1,,,0,,
writing,,,,0,1,
code,,0,,1,,
writing,,,,,1,0
writing,,1,,,,0
math,,,,1,,0
code,,,,0,,1
writing,,,,,0,1
code,,1,,,0,
code,,,1,,,0
code,,,,0,1,
math,0,1,,,,
code,,1,,0,,
writing,,0,,,,1
code,,0,,,,1
writing,1,0,,,,
code,,,0,,1,
writing,,1,,0,,
writing,,0,,,1,
writing,,,1,,,0
writing,1,,,0,,
writing,1,,,,0,
writing,,,,0,,1
math,,0,,1,,
math,,1,0,,,
code,0,1,,,,
code,,,,1,,0
writing,,,0,1,,
code,,0,,1,,
math,,,,0,1,
writing,,,1,,,0
writing,,,,1,0,
writing,1,,,,,0
math,,0,1,,,
math,,,,1,0,
code,,,,0,,1
code,0,,,,1,
math,,1,,,0,
math,,0,1,,,
math,,,,1,,0
writing,,,,1,,0
writing,0,,,,,1
writing,1,,0,,,
math,0,,,,1,
code,,0,1,,,
code,0,1,,,,
writing,1,,,,0,
writing,0,,,,,1
code,0,,,1,,
math,,,0,,1,
writing,,1,,,0,
writing,,0,,,,1
code,0,,1,,,
writing,,,1,0,,
code,,1,,,0,
math,0,,,,,1
math,,,,1,0,
writing,0,1,,,,
writing,,1,,,,0
math,,,,0,1,
writing,,0,1,,,
writing,,1,,,0,
writing,,,1,,0,
code,0,,,,,1
code,,,,,0,1
math,,,1,0,,
math,,0,,,,1
writing,1,,,,0,
code,,,,1,,0
writing,1,,0,,,
code,1,,,,0,
math,1,,,0,,
math,,1,0,,,
code,,,,,0,1
math,0,,,,,1
writing,,,1,,,0
code,1,,,,,0
code,,,0,,1,
writing,1,0,,,,
math,,,,1,,0
writing,1,,0,,,
code,,,0,1,,
code,1,0,,,,
writing,,,,,1,0
writing,,,1,0,,
code,,,1,0,,
math,,0,,,,1
math,,0,,1,,
writing,,,0,,1,
math,1,0,,,,
math,,,1,,,0
code,,0,1,,,
writing,,1,,,0,
writing,1,,0,,,
math,,1,0,,,
code,,,,0,,1
writing,1,,,,,0
writing,,0,1,,,
writing,1,,,0,,
writing,,,,0,1,
math,0,,,,,1
math,0,,1,,,
code,0,,,,1,
code,1,,,0,,
math,,,,1,0,
math,,,0,,1,
code,,1,,0,,
math,,,,,1,0
math,,,,,1,0
code,,0,,,1,
writing,,,1,,,0
writing,,,1,0,,
math,,0,,,,1
code,,,1,,,0
math,,,0,,,1
writing,1,,,,,0
writing,,,,,0,1
math,,,1,,0,
code,,1,,0,,
code,,,0,1,,
code,1,,,,0,
code,,1,,,,0
code,,1,,0,,
code,,,1,,0,
math,,,0,,1,
math,,,,,0,1
math,,0,,,,1
math,1,,0,,,
writing,,,0,,,1
math,,,0,1,,
math,,,1,0,,
writing,,1,,,0,
writing,,,,1,,0
writing,,0,,,1,
math,,1,,,0,
code,,0,1,,,
math,0,,1,,,
math,,,0,,,1
math,,1,,0,,
math,,0,1,,,
code,,,1,,0,
code,,1,,,,0
code,0,1,,,,
writing,,0,,,,1
code,,0,1,,,
writing,,1,,,0,
math,,,0,,,1
math,1,,,,,0
math,,0,,,1,
math,0,,,1,,
writing,,0,,,1,
code,,,1,,0,
code,,0,,1,,
code,1,,,,0,
writing,,,1,,,0
writing,,,,1,0,
math,0,,,,1,
math,,,,0,,1
code,,,,,0,1
math,0,1,,,,
writing,,,,,0,1
writing,,,,,0,1
writing,,1,,,0,
code,,1,0,,,
code,,,0,1,,
writing,0,1,,,,
writing,,1,0,,,
code,,1,,0,,
code,,1,0,,,
code,1,0,,,,
code,0,1,,,,
code,,,,,0,1
math,,0,1,,,
math,,,,,1,0
code,,,,0,1,
writing,0,1,,,,
writing,1,,,,0,
code,0,,,1,,
code,,,1,0,,
math,0,,,,1,
math,,,0,,1,
math,,0,,1,,
code,,,,1,0,
writing,0,,,1,,
math,0,,1,,,
code,,,,0,1,
code,,,,0,1,
writing,1,0,,,,
code,,1,,0,,
code,,1,,0,,
writing,,,1,,0,
writing,,,1,0,,
writing,,,1,,0,
code,,0,,1,,
math,,,0,,1,
code,,1,,,,0
writing,,1,,,0,
math,0,,1,,,
writing,,1,,,,0
writing,,,,0,1,
math,,,0,,1,
math,0,,,,1,
code,0,1,,,,
writing,,,,,0,1
code,,,1,0,,
writing,,,1,,0,
math,0,1,,,,
writing,0,,,,1,
code,,1,,,0,
math,,0,,,,1
math,,,,1,0,
writing,,,1,,,0
code,,1,,,0,
code,1,,,0,,
code,0,,1,,,
writing,,,1,,0,
code,0,,,1,,
writing,,,0,,1,
code,0,,,1,,
writing,0,,,1,,
math,0,1,,,,
math,,0,,,,1
writing,,,,1,0,
math,,0,,,1,
code,,1,,,0,
code,,,0,,1,
writing,1,0,,,,
writing,,,,0,,1
code,1,,0,,,
writing,,,,0,,1
code,,0,,,,1
code,,,,0,,1
code,,,,,0,1
code,1,,0,,,
writing,,1,,,,0
writing,,,,,0,1
writing,,,,,1,0
math,,1,,,0,
writing,0,1,,,,
writing,,0,,,,1
code,,0,,,,1
writing,,0,,,,1
writing,,,1,,,0
writing,0,,,1,,
writing,,1,,0,,
writing,1,,0,,,
math,,,,1,0,
math,0,,,1,,
math,0,,,,1,
code,1,,,0,,
code,0,,,,1,
writing,,,,1,0,
math,0,,,,1,
writing,,1,,0,,
writing,0,1,,,,
math,,0,,,,1
code,,1,,0,,
code,,1,,,0,
math,0,,,,,1
writing,,,1,,0,
writing,,,,0,,1
math,0,1,,,,
code,1,0,,,,
code,1,,0,,,
code,,,0,,,1
writing,0,,,1,,
math,0,,,,,1
code,0,1,,,,
math,,1,,,0,
code,,,,0,1,
writing,1,,,0,,
code,1,,,0,,
writing,,0,,,,1
math,,0,,,,1
math,,,,,1,0
math,,,1,,,0
writing,,,0,,,1
math,,,0,,,1
math,,,1,,,0
writing,,1,,,0,
code,,1,,,0,
code,,0,1,,,
writing,0,1,,,,
code,,,1,0,,
writing,,0,1,,,
code,,,0,,1,
code,,,,1,0,
math,0,,1,,,
math,,,,1,0,
code,1,0,,,,
code,1,,,,0,
math,1,,,,,0
code,,,0,,1,
writing,,0,,,,1
math,,0,1,,,
math,,,,,0,1
code,1,,,,,0
code,,,1,,,0
math,0,,,,,1
code,,1,,,,0
math,,,,1,,0
writing,1,,,,,0
writing,,,,,0,1
math,,0,,1,,
code,,,,0,1,
code,,1,,,,0
code,,,1,0,,
code,0,,,,1,
math,,,1,,0,
writing,,,,,1,0
writing,0,,,1,,
math,,1,,,,0
code,,1,,,0,
writing,0,1,,,,
code,,,1,,,0
math,,,,,1,0
code,0,,,,,1
writing,,1,,,,0
writing,,0,1,,,
writing,,1,0,,,
writing,,0,,,,1
writing,,,,,0,1
math,,,,0,,1
code,,1,,,0,
math,,,,1,,0
math,1,,,,0,
writing,,0,1,,,
math,0,,1,,,
math,,0,,,1,
writing,,,1,,,0
math,,,1,,0,
math,0,,,,1,
code,,,,0,,1
math,,0,,1,,
writing,,,1,0,,
writing,,,1,,,0
math,,1,0,,,
code,,,1,,,0
writing,1,,,,,0
writing,,,1,,0,
code,,1,,,0,
writing,,,,1,,0
code,,1,0,,,
math,0,,,,1,
code,,,0,,,1
writing,1,,,,,0
writing,,,,,1,0
math,0,,,,1,
writing,1,,0,,,
math,,0,,1,,
math,,,,,0,1
writing,,,,0,,1
writing,0,,,1,,
code,,,,1,,0
math,,1,,0,,
code,,,0,,,1
writing,,,1,,0,
writing,,1,0,,,
code,1,,,0,,
math,,0,,,,1
math,,,1,0,,
writing,,,,0,,1
math,1,0,,,,
math,1,,,,0,
writing,1,0,,,,
code,1,,0,,,
code,,0,,,,1
writing,,,,1,0,
math,,,0,1,,
writing,,1,,0,,
code,0,,,,1,
code,,,,,0,1
writing,0,,1,,,
code,,,1,0,,
code,,,1,,,0
math,1,,,,0,
writing,,,,,1,0
math,0,,,1,,
math,1,,,,,0
writing,,,1,0,,
math,1,,0,,,
math,,0,1,,,
code,0,,,,1,
math,,,,,1,0
code,,0,,1,,
math,0,,,,1,
math,1,,,0,,
writing,,,,1,0,
writing,,0,,1,,
writing,,,1,,0,
writing,1,,,,,0
math,,1,,,0,
writing,0,,1,,,
code,0,1,,,,
code,,1,,0,,
writing,,0,1,,,
math,,,0,1,,
writing,,1,,,,0
writing,1,,0,,,
math,1,,,,0,
math,,,,0,,1
code,,,,0,,1
math,0,1,,,,
math,,,,1,,0
math,,1,,0,,
math,,1,,,,0
